,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_sec,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,album_type
0,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,"('Travis Scott',)","('0Y5tJX1MQlPlqiwlOH1tJY',)",98,175.72,0.598,0.427,-8.764,0,0.0546,0.0605,76.469,single
1,Circles,21jGcNKet2qwijlDFuPiPb,"('Post Malone',)","('246dkjvS1zLTtiykXe5h60',)",100,215.28,0.695,0.762,-3.497,1,0.192,0.553,120.042,album
2,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,"('Juice WRLD', 'YoungBoy Never Broke Again')","('4MCBfE4596Uoi2O4DtmEMz', '7wlFDEWiM5OoIAt8RSli8b')",94,189.322,0.474,0.631,-5.884,0,0.0687,0.425,180.051,single
3,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,"('Selena Gomez',)","('0C8ZW7ezQVs4URX5aX7Kqx',)",99,206.458,0.505,0.34,-9.005,1,0.576,0.0916,101.993,single
4,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,"('blackbear',)","('2cFrymmkijnjDg9SS92EPM',)",97,185.093,0.778,0.559,-7.109,0,0.128,0.678,129.989,single
5,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,"('YNW Melly', '9lokknine')","('1cNDP5yjU5vjeR8qMf4grg', '0ceH34CATvfgphxnLRWFkm')",92,176.64,0.932,0.547,-7.787,0,0.0388,0.695,94.998,single
6,Memories,2b8fOow8UzyDFAE27YhOZM,"('Maroon 5',)","('04gDigrS5kc9YWfZHwBETP',)",99,189.486,0.764,0.32,-7.209,1,0.837,0.575,91.019,single
7,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,"('Lewis Capaldi',)","('4GNC7GD6oZMSxPGyXy4MNB',)",96,182.16,0.501,0.405,-5.679,1,0.751,0.446,109.891,album
8,Camelot,4sWuPniHClkInYAnzXAYUF,"('NLE Choppa',)","('0ErzCpIMyLcjPiwT4elrtZ',)",90,148.759,0.787,0.713,-5.252,1,0.0849,0.762,175.041,single
9,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,"('Dan + Shay', 'Justin Bieber')","('7z5WFjZAIYejWy0NI5lv4T', '1uNFoZAHBGtllmzznpCI3s')",95,167.693,0.654,0.63,-4.644,1,0.153,0.43,89.991,single
