,Song,Song_ID,Artists,Artists_Id,Popularity,Lengthofsing_ms,danceability,energy,loudness,Modemajor1_happier,acousticness,valence,tempo,Release_date,Album_type,source,Fear,Trust,Joy,Disgust,Anticipation,Sadness,Suprise,Anger,Negative,Positive
0,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,98,175720,0.598,0.4270000000000001,-8.764,0,0.0546,0.0605,76.469,10/4/19,single,genius.com,0.04,0.049999999999999996,0.04,0.01,0.035,0.025,0.025,0.025,0.045,0.049999999999999996
1,Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,246dkjvS1zLTtiykXe5h60,100,215280,0.695,0.762,-3.497,1,0.192,0.5529999999999999,120.042,9/6/19,album,genius.com,0.02884615384615384,0.025641025641025637,0.03205128205128205,0.025641025641025637,0.038461538461538464,0.01923076923076923,0.009615384615384616,0.025641025641025637,0.038461538461538464,0.03205128205128205
2,Bandit ,6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,94,189322,0.474,0.631,-5.8839999999999995,0,0.0687,0.425,180.051,10/4/19,single,genius.com,0.061749571183533476,0.00686106346483705,0.008576329331046312,0.03945111492281304,0.00686106346483705,0.03773584905660377,0.005145797598627787,0.065180102915952,0.08233276157804464,0.013722126929674101
3,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,99,206458,0.505,0.34,-9.005,1,0.5760000000000001,0.0916,101.993,10/23/19,single,genius.com,0.03641456582633053,0.0028011204481792717,0.13725490196078433,0.03081232492997199,0.0028011204481792717,0.044817927170868334,0.0196078431372549,0.03361344537815126,0.0476190476190476,0.1456582633053221
4,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,97,185093,0.778,0.5589999999999999,-7.109,0,0.128,0.6779999999999999,129.989,8/23/19,single,genius.com,0.03333333333333333,0.00196078431372549,0.00784313725490196,0.047058823529411764,0.0,0.043137254901960784,0.0,0.07843137254901955,0.08627450980392148,0.01568627450980392
5,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,99,189486,0.764,0.32,-7.209,1,0.8370000000000001,0.575,91.01899999999999,9/20/19,single,genius.com,0.03405572755417957,0.03095975232198143,0.015479876160990714,0.0030959752321981426,0.009287925696594427,0.01238390092879257,0.006191950464396285,0.01238390092879257,0.021671826625387,0.03405572755417957
6,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,96,182160,0.501,0.405,-5.678999999999999,1,0.7509999999999999,0.446,109.891,5/17/19,album,genius.com,0.03036876355748373,0.019522776572668113,0.01735357917570499,0.03036876355748373,0.008676789587852495,0.02386117136659436,0.0065075921908893716,0.043383947939262486,0.04772234273318874,0.036876355748373106
7,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,90,148759,0.787,0.713,-5.252000000000002,1,0.0849,0.762,175.041,9/13/19,single,genius.com,0.008955223880597015,0.023880597014925373,0.011940298507462687,0.005970149253731343,0.01791044776119403,0.0029850746268656717,0.005970149253731343,0.005970149253731343,0.008955223880597015,0.020895522388059702
8,Follow God,2QpGZOhTCHHiKmpSO9FW4h,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,93,104591,0.529,0.9,-3.503,1,0.000248,0.434,180.291,10/25/19,album,genius.com,0.02631578947368421,0.009868421052631578,0.006578947368421052,0.013157894736842105,0.019736842105263157,0.01644736842105263,0.003289473684210526,0.02631578947368421,0.023026315789473683,0.023026315789473683
9,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,56oDRnqbIiwx4mymNEv7dS,91,173325,0.715,0.624,-3.0460000000000003,0,0.11,0.41200000000000003,158.08700000000005,5/3/19,album,genius.com,0.029411764705882353,0.043137254901960784,0.03137254901960784,0.00392156862745098,0.03137254901960784,0.03137254901960784,0.023529411764705882,0.023529411764705882,0.043137254901960784,0.045098039215686274
10,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,95,245425,0.7040000000000001,0.225,-14.454,0,0.902,0.243,120.006,11/13/19,single,genius.com,0.0389294403892944,0.012165450121654502,0.009732360097323601,0.0072992700729927005,0.012165450121654502,0.029197080291970805,0.009732360097323601,0.0340632603406326,0.07542579075425786,0.0364963503649635
11,Money In The Grave ,5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,91,205426,0.831,0.502,-4.045,0,0.10099999999999999,0.10099999999999999,100.541,6/15/19,single,genius.com,0.03787878787878786,0.03030303030303029,0.024621212121212113,0.02083333333333333,0.02083333333333333,0.02272727272727272,0.018939393939393936,0.053030303030303,0.05492424242424239,0.028409090909090898
12,Ransom,1lOe9qE0vR9zwWQAOk6CoO,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,92,131240,0.745,0.642,-6.2570000000000014,0,0.0204,0.226,179.97400000000005,8/30/19,album,genius.com,0.01827676240208877,0.01827676240208877,0.005221932114882507,0.015665796344647518,0.00783289817232376,0.015665796344647518,0.00783289817232376,0.015665796344647518,0.031331592689295036,0.010443864229765013
13,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,89,159714,0.769,0.787,-3.909,1,0.18899999999999997,0.836,126.77,9/27/19,album,genius.com,0.025404157043879903,0.020785219399538105,0.016166281755196306,0.020785219399538105,0.009237875288683603,0.025404157043879903,0.0023094688221709007,0.032332563510392605,0.03926096997690531,0.027713625866050803
14,Take What You Want ,7CZyCXKG6d5ALeq41sLzbw,Post Malone,246dkjvS1zLTtiykXe5h60,92,229573,0.499,0.8,-2.665,0,0.0906,0.272,139.91899999999998,9/6/19,album,genius.com,0.020066889632107024,0.023411371237458196,0.026755852842809368,0.0033444816053511705,0.016722408026755852,0.013377926421404682,0.016722408026755852,0.016722408026755852,0.026755852842809368,0.03344481605351171
15,VIBEZ,0fySG6A6qLE8IvDpayb5bM,DaBaby,4r63FhuTkUYltbVAg5TQnk,88,144935,0.768,0.652,-2.708,0,0.113,0.777,154.187,9/27/19,album,genius.com,0.08203125,0.01953125,0.0234375,0.08203125,0.02734375,0.1015625,0.01171875,0.08203125,0.1015625,0.0234375
16,Goodbyes ,0t3ZvGKlmYmVsDzBJAXK8C,Post Malone,246dkjvS1zLTtiykXe5h60,94,174853,0.5479999999999999,0.653,-3.875,1,0.456,0.163,150.06799999999996,9/6/19,album,genius.com,0.033519553072625705,0.0111731843575419,0.02048417132216015,0.0111731843575419,0.0186219739292365,0.01675977653631285,0.0111731843575419,0.0837988826815642,0.040968342644320296,0.027932960893854757
17,bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,96,194087,0.701,0.425,-10.965,1,0.32799999999999996,0.562,135.128,3/29/19,album,genius.com,0.025931928687196112,0.032414910858995144,0.030794165316045386,0.025931928687196112,0.043760129659643425,0.022690437601296597,0.0340356564019449,0.040518638573743916,0.0518638573743922,0.05024311183144244
18,Hot ,5Z8HZM6iQMhhqyPcCGY5g9,Young Thug,50co4Is1HCEo8bhOyUWKpn,88,193026,0.855,0.6509999999999999,-8.044,0,0.063,0.5589999999999999,111.99700000000001,8/16/19,album,genius.com,0.0502283105022831,0.0045662100456621,0.0273972602739726,0.0319634703196347,0.0319634703196347,0.0319634703196347,0.0136986301369863,0.0273972602739726,0.0639269406392694,0.045662100456621
19,Suge,2gwkD6igEhQbDQegRCcdoB,DaBaby,4r63FhuTkUYltbVAg5TQnk,88,163320,0.8759999999999999,0.662,-6.482,0,0.0608,0.8440000000000001,75.445,3/1/19,album,genius.com,0.011135857461024499,0.011135857461024499,0.006681514476614699,0.011135857461024499,0.011135857461024499,0.020044543429844096,0.006681514476614699,0.015590200445434299,0.033407572383073486,0.011135857461024499
20,Trampoline ,1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,94,184280,0.619,0.45899999999999996,-5.782,0,0.56,0.498,126.803,9/26/19,single,genius.com,0.029535864978902943,0.014767932489451477,0.012658227848101266,0.03797468354430379,0.008438818565400843,0.021097046413502105,0.004219409282700422,0.04430379746835443,0.04430379746835443,0.08227848101265826
21,Enemies ,0Xek5rqai2jcOWCYWJfVCF,Post Malone,246dkjvS1zLTtiykXe5h60,89,196760,0.542,0.674,-4.169,1,0.0588,0.667,76.388,9/6/19,album,genius.com,0.011494252873563218,0.02528735632183908,0.034482758620689655,0.016091954022988506,0.020689655172413793,0.011494252873563218,0.016091954022988506,0.022988505747126436,0.03908045977011494,0.04597701149425287
22,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,Tones and I,2NjfBq1NflQcKSeiDooVjY,97,209438,0.8240000000000001,0.588,-6.4,0,0.6920000000000001,0.513,98.027,10/17/19,single,genius.com,0.04166666666666667,0.020833333333333332,0.03869047619047619,0.0,0.03869047619047619,0.020833333333333332,0.020833333333333332,0.01488095238095238,0.03273809523809523,0.04166666666666667
